Nom,Adresse,Ville,Code_Postal,Telephone,Email,Type,Standing,Score,Notes
L'Alchimiste,30 rue Saint-Rémi,Bordeaux,33000,+33 5 56 48 03 31,hello@lalchimiste-bdx.fr,Végétarien,€€,7.5,Produits bio végétalien
La Mercerie,9 cours Julien,Marseille,13006,+33 4 91 06 18 44,hello@lamercerie-marseille.fr,Végétarien,€€,8.0,Produits bio végétal local
Pure & V,5 rue Gubernatis,Nice,06000,+33 4 93 62 53 12,contact@pure-et-v.fr,Végétarien Bio,€€,8.5,100% bio végétal local
Solides,40 rue Peyrolières,Toulouse,31000,+33 5 61 53 06 24,hello@solides-toulouse.fr,Végétarien,€€,8.5,100% végétal bio local
Nature & Saveur,8 rue Jacques Cœur,Strasbourg,67000,+33 3 88 75 58 58,contact@nature-saveur.com,Bio Végétarien,€€,8.5,100% bio local Alsace
Hank Burger,55 rue des Petites Écuries,Paris,75010,+33 1 89 16 41 09,contact@hankburger.fr,Vegan Burger,€,8.0,Burgers 100% végétaux bio
VG Pâtisserie,123 boulevard Voltaire,Paris,75011,+33 9 86 42 34 58,contact@vgpatisserie.fr,Pâtisserie Vegan,€€,7.5,100% végétal sans allergènes
Tien Tsin,42 rue du Cardinal Lemoine,Paris,75005,+33 1 43 54 24 99,contact@tientsin.fr,Asiatique Végétarien,€,7.0,Cuisine végétarienne chinoise
Le Grenier de Notre-Dame,18 rue de la Bûcherie,Paris,75005,+33 1 43 29 98 29,contact@legrenier-notredame.fr,Végétarien,€,7.5,Cuisine végétarienne depuis 1978
42 Degrés,109 rue du Faubourg Poissonnière,Paris,75009,+33 9 73 69 55 55,hello@42degres.com,Raw Vegan,€€,8.0,Crusine raw food 100% bio
East Side Burgers,5 rue de la Main d'Or,Paris,75011,+33 1 43 79 70 07,contact@eastsideburgers.fr,Burger Végé,€,7.0,Options végétariennes nombreuses
Nanashi,57 rue Charlot,Paris,75003,+33 1 44 61 45 49,contact@nanashi.fr,Ramen Vegan,€€,8.0,Ramen 100% végétal bio
Le Tricycle,11 rue de Babylone,Paris,75007,+33 1 45 44 15 63,contact@letricycle.fr,Végétarien,€€,7.5,Cuisine végétarienne créative
Les Mauvaises Herbes,21 rue des Martyrs,Rennes,35000,+33 2 99 38 84 28,contact@lesmauvaisesherbes.fr,Végétarien Bio,€€,8.0,100% bio local Bretagne
Loving Hut,92 boulevard Beaumarchais,Paris,75011,+33 1 48 06 85 55,contact@lovinghut.fr,Vegan Asiatique,€,7.0,Chaîne vegan internationale
Cloud Cakes,68 rue du Faubourg Poissonnière,Paris,75010,+33 9 81 73 23 73,hello@cloudcakes.fr,Pâtisserie Vegan,€€,7.5,Pâtisseries 100% végétales bio
Pousse-Pousse,5 rue Notre-Dame de Nazareth,Paris,75003,+33 1 42 77 16 41,contact@pousse-pousse.fr,Végétarien,€,7.0,Cuisine végétarienne maison
Café Ginger,13 rue Jacques Cœur,Nantes,44000,+33 2 40 48 16 64,hello@cafeginger.fr,Végétarien Bio,€€,8.0,100% bio végétal brunch
Le Grand Amour,18 rue de l'Échaudé,Paris,75006,+33 1 43 26 38 18,contact@legrandamour.fr,Café Végé,€€,7.5,Options végétariennes nombreuses
Le Potager de Maïté,5 place Félix Eboué,Lyon,69003,+33 4 78 54 42 02,contact@lepotagerdemaite.fr,Végétarien,€€,7.5,Cuisine végétarienne lyonnaise
Aujourd'hui Demain,55 rue du Faubourg Montmartre,Paris,75009,+33 1 42 46 95 85,paris9@aujourdhuidemain.bio,Bio Végétalien,€€,8.0,100% bio végétal
Kitchen Garden,42 rue des Vinaigriers,Paris,75010,+33 9 81 26 59 69,contact@kitchengarden.fr,Végétarien,€€,7.5,Cuisine végétarienne créative
Jah Jah by Le Tricycle,5 rue des Petites Écuries,Paris,75010,+33 1 48 00 08 18,contact@jahjah.fr,Afro-Vegan,€,8.0,Cuisine africaine 100% végétale
Le Faitout,13 rue Sainte-Beuve,Paris,75006,+33 1 43 26 42 42,contact@lefaitout.fr,Végétarien,€€,7.5,Cuisine végétarienne française
Le Bal Café,6 impasse de la Défense,Paris,75018,+33 1 44 70 75 51,contact@lebalcafe.fr,Café Végé,€€,7.5,Brunch végétarien bio
Tien Hiang,14 rue Bichat,Paris,75010,+33 1 42 03 35 31,contact@tienhiang.fr,Asiatique Bio,€€,7.0,Ingrédients bio certifiés végé
Dersou,21 rue Saint-Nicolas,Paris,75012,+33 9 81 01 12 73,contact@dersouparis.com,Contemporain Végé,€€€,8.0,Menu végétarien disponible créatif
L'Arpège (option végé),84 rue de Varenne,Paris,75007,+33 1 47 05 09 06,contact@alain-passard.com,Gastronomique Potager,€€€€,9.5,3* Michelin 100% potager possible
Maslow,32 rue Lamarck,Paris,75018,+33 9 86 53 73 61,hello@maslow-paris.fr,Végétarien,€€,7.5,Cuisine végétarienne méditerranéenne
Gokudo Vegan,17 rue Lucien Sampaix,Paris,75010,+33 9 87 38 47 19,contact@gokudovegan.com,Ramen Vegan,€€,8.0,Ramen 100% végétal japonais
Buddha Bowls,34 rue des Batignolles,Paris,75017,+33 9 81 34 56 72,hello@buddhabowls.fr,Bowls Végétariens,€,7.5,Bowls santé végétariens bio
Vegan Folie's,53 rue Mouffetard,Paris,75005,+33 1 43 31 68 69,contact@veganfolies.fr,Vegan,€€,7.5,Cuisine 100% végétale créative
Le Tricot,6 rue de la Chaussée d'Antin,Paris,75009,+33 1 47 70 88 73,contact@letricot.fr,Végétarien,€€,7.5,Cuisine végétarienne européenne
Hoy,74 rue des Gravilliers,Paris,75003,+33 9 86 42 97 44,hello@hoy-paris.fr,Asiatique Végé,€,8.0,Cuisine asiatique végétarienne
La Guinguette d'Angèle,6 impasse des Arbalétriers,Lyon,69005,+33 4 72 40 90 91,contact@laguinguettedangele.fr,Végétarien,€€,7.5,Cuisine végétarienne créative Lyon
Teva Deli,8 rue Ferdinand Duval,Paris,75004,+33 1 42 72 70 34,contact@tevadeli.com,Falafel Végé,€,7.5,Falafel végétarien moyen-oriental
Vege Table,44 rue de Belleville,Paris,75020,+33 9 81 45 67 89,hello@vegetable.fr,Végétarien,€,7.0,Cuisine végétarienne populaire
