Nom,Adresse,Ville,Code_Postal,Telephone,Email,Type,Standing,Score,Notes
Fragments,76 rue des Tournelles,Paris,75003,+33 1 42 72 39 74,contact@fragments-paris.com,Contemporain,€€€,8.0,Producteurs locaux partenaires
Clover Grill,6 rue Bailleul,Paris,75001,+33 1 40 41 59 59,contact@clovergrill.com,Contemporain,€€€,7.5,Produits frais qualité
Septime,80 rue de Charonne,Paris,75011,+33 1 43 67 38 29,contact@septime-charonne.fr,Gastronomique,€€€€,9.0,1* Michelin circuits courts bio
Le Maquis,69 rue Caulaincourt,Paris,75018,+33 1 42 59 76 07,contact@lemaquis.fr,Bistronomie,€€,7.5,Produits terroir mentions locales
Season,1 rue Charles-François Dupuis,Paris,75003,+33 1 76 21 23 20,hello@season-paris.fr,Végétarien,€€,8.0,100% végétal produits bio
Tien Hiang,14 rue Bichat,Paris,75010,+33 1 42 03 35 31,contact@tienhiang.fr,Asiatique Bio,€€,7.0,Ingrédients bio certifiés
La Table de Colette,14 rue de Prague,Paris,75012,+33 1 43 43 29 11,contact@latabledecolette.fr,Bistronomie,€€€,8.0,Produits bio producteurs référencés
Culina Hortus,38 rue de l'Arbre Sec,Lyon,69001,+33 9 81 94 66 66,contact@culinahortus.com,Végétarien Bio,€€,9.0,100% bio producteurs locaux partenaires
La Bijouterie,1 rue de la Martinière,Lyon,69001,+33 4 72 00 17 58,contact@labijouterielyon.fr,Bistronomie,€€€,8.5,Produits saison sourcing soigné
Le Kitchen Café,34 rue Chevreul,Lyon,69007,+33 4 72 71 61 61,hello@lekitchencafe.com,Contemporain,€€,7.5,Brunch bio produits frais marché
L'Esprit Nature,20 rue du Palais Grillet,Lyon,69002,+33 4 78 92 95 75,contact@espritnature-lyon.fr,Bio Végétarien,€€,8.0,Certifié bio carte détaille origines
Maison Clovis,8 rue Mourguet,Lyon,69005,+33 4 78 29 40 14,reservation@maisonclovis.fr,Gastronomique,€€€€,9.0,1* Michelin terroir lyonnais premium
Le Potager de Charlotte,3 rue de la Martinière,Lyon,69001,+33 4 78 37 10 08,contact@lepotagerdecharlotte.com,Végétarien,€€,8.0,Focus produits locaux clientèle bio
Café Arty,5 rue Gaspard André,Lyon,69002,+33 4 78 37 11 96,hello@cafearty.fr,Café Bio,€,7.0,Produits bio équitables
Le Bouchon des Filles,20 rue Sergent Blandan,Lyon,69001,+33 4 78 30 40 44,contact@lebouchondesfilles.com,Bouchon Lyonnais,€€,7.5,Produits terroir lyonnais
Les Apothicaires,23 rue de Sèze,Lyon,69006,+33 4 78 52 40 15,contact@lesapothicaires.com,Bistronomie,€€€,8.5,Circuits courts vins naturels
Substrat,34 rue Tramassac,Lyon,69005,+33 4 78 29 04 53,hello@substrat-lyon.fr,Végétarien,€€,8.0,100% végétal produits bio locaux
Prairial,11 rue Chavanne,Lyon,69001,+33 4 78 27 86 93,contact@restaurant-prairial.com,Gastronomique,€€€€,9.5,2* Michelin potager bio ultra premium
Le Gourguillon,3 rue du Gourguillon,Lyon,69005,+33 4 78 37 87 87,contact@legourguillon.fr,Bistronomie,€€,7.5,Produits saison marché local
Mère Brazier,12 rue Royale,Lyon,69001,+33 4 78 23 17 20,contact@lamerebrazier.fr,Gastronomique,€€€€,9.0,2* Michelin tradition terroir
L'Atelier des Augustins,11 rue des Augustins,Lyon,69001,+33 4 72 00 88 01,contact@atelierdesaugustins.com,Bistronomie,€€€,8.0,Sourcing soigné producteurs locaux
Le Comptoir du Boeuf,5 place Gailleton,Lyon,69002,+33 4 78 37 67 67,contact@comptoirduboeuf.fr,Viandes Premium,€€€,7.5,Viandes bio éleveurs partenaires
La Source,9 cours Portal,Bordeaux,33000,+33 5 56 48 15 15,hello@lasource-bordeaux.bio,Végétarien Bio,€€,8.5,100% bio local sans gluten
Le Prince Noir,25 avenue Thiers,Bordeaux,33100,+33 5 56 94 30 50,contact@princenoirbordeaux.com,Gastronomique,€€€€,9.0,1* Michelin producteurs régionaux
Symbiose,6 rue du Cancéra,Bordeaux,33000,+33 5 56 44 04 05,contact@symbiose-restaurant.fr,Bistronomie,€€€,8.0,Circuits courts vins naturels
Le Bouchon Bordelais,7 rue Sainte-Catherine,Bordeaux,33000,+33 5 56 44 73 73,contact@bouchonbordelais.fr,Bistrot,€€,7.0,Produits Sud-Ouest mentions terroir
La Grande Maison,10 rue Labottière,Bordeaux,33000,+33 5 57 99 72 00,reservation@lagrandemaison.fr,Gastronomique,€€€€,9.5,2* Michelin potager bio prestige
Garopapilles,62 rue Abbé de l'Épée,Bordeaux,33000,+33 5 56 79 90 91,contact@garopapilles.com,Bistronomie,€€€,8.5,Producteurs bio locaux vins nature
Le Cheverus,28 rue du Cheverus,Bordeaux,33000,+33 5 56 48 14 30,hello@lecheverus.fr,Néobistrot,€€,8.0,Sourcing local marché Capucins
Miles,21 rue Ausone,Bordeaux,33000,+33 5 56 81 14 11,contact@miles-restaurant.com,Contemporain,€€€,7.5,Produits saison mentions bio
Racines,59 rue Georges Bonnac,Bordeaux,33000,+33 5 56 44 96 96,contact@racines-bordeaux.com,Bistronomie,€€,8.0,Circuits courts producteurs nommés
Le Quatrième Mur,2 place de la Comédie,Bordeaux,33000,+33 5 57 30 43 04,contact@lequatriememur.com,Gastronomique,€€€€,8.5,Chef étoilé terroir aquitain
L'Alchimiste,30 rue Saint-Rémi,Bordeaux,33000,+33 5 56 48 03 31,hello@lalchimiste-bdx.fr,Végétarien,€€,7.5,Produits bio végétalien
Le Gabriel,10 place de la Bourse,Bordeaux,33000,+33 5 56 30 00 70,reservation@le-gabriel-bordeaux.fr,Gastronomique,€€€€,9.0,Terroir bordelais prestige
Mama Shelter Restaurant,19 rue Poquelin Molière,Bordeaux,33000,+33 5 57 30 45 45,contact@mamashelter.com,Contemporain,€€,7.0,Produits frais local brunch
Le Petit Commerce,22 rue du Parlement Saint-Pierre,Bordeaux,33000,+33 5 56 79 76 58,contact@lepetitcommerce.fr,Fruits de Mer,€€€,7.5,Poissons frais marché criée
La Tupina,6 rue Porte de la Monnaie,Bordeaux,33800,+33 5 56 91 56 37,contact@latupina.com,Gastronomique,€€€€,8.5,Terroir Sud-Ouest producteurs
Chez Albert,8 rue Sainte-Catherine,Marseille,13001,+33 4 91 54 13 19,contact@chezalbert-marseille.fr,Provençal,€€,7.5,Produits terroir provençal
L'Épuisette,158 vallon des Auffes,Marseille,13007,+33 4 91 52 17 82,contact@l-epuisette.fr,Gastronomique,€€€€,9.0,1* Michelin poissons criée locaux
Le Café des Épices,4 rue du Lacydon,Marseille,13002,+33 4 91 91 22 69,contact@lecafedesepices.com,Bistronomie,€€€,8.0,Marché bio producteurs méditerranée
Une Table au Sud,2 quai du Port,Marseille,13002,+33 4 91 90 63 53,contact@unetableausud.com,Gastronomique,€€€€,8.5,Chef étoilé terroir provençal
Le Môle Passédat,47 avenue du Prado,Marseille,13008,+33 4 91 59 25 92,contact@lemole-passedat.fr,Gastronomique,€€€€,9.0,1* Michelin poissons locaux
Chez Fonfon,140 rue du Vallon des Auffes,Marseille,13007,+33 4 91 52 14 38,contact@chez-fonfon.com,Poissons,€€€,8.0,Bouillabaisse produits criée
La Mercerie,9 cours Julien,Marseille,13006,+33 4 91 06 18 44,hello@lamercerie-marseille.fr,Végétarien,€€,8.0,Produits bio végétal local
Le Grain de Sel,39 rue de la Paix Marcel Paul,Marseille,13001,+33 4 91 54 47 30,contact@legraindesel-marseille.fr,Bistronomie,€€€,8.5,Circuits courts producteurs PACA
Yafo,85 boulevard de la Libération,Marseille,13004,+33 4 91 48 67 13,hello@yafomarseille.com,Méditerranéen,€€,7.5,Produits frais bio mentions
L'Aromat,34 rue Paradis,Marseille,13006,+33 4 91 42 88 80,contact@laromat.fr,Gastronomie,€€€€,8.5,Sourcing premium terroir sud
Le Ventre de l'Architecte,58 cours Julien,Marseille,13006,+33 4 91 42 42 33,bonjour@leventredlarchitecte.com,Bistronomie,€€,7.5,Produits marché Noailles
Sépia,44 rue Saint-Saëns,Marseille,13001,+33 4 91 90 74 60,contact@sepia-marseille.fr,Contemporain,€€€,8.0,Sourcing pêcheurs locaux
Le Malthazar,11 rue Fortia,Marseille,13001,+33 4 91 33 50 95,contact@lemalthazar.fr,Brasserie,€€,7.0,Produits frais marché
La Boîte à Sardine,2 boulevard de la Libération,Marseille,13001,+33 4 91 50 95 95,contact@laboiteasardine.com,Poissons,€€€,7.5,Criée locale pêche jour
Le Petit Nice Passédat,17 rue des Braves,Marseille,13007,+33 4 91 59 25 92,contact@passedat.fr,Gastronomique,€€€€,9.5,3* Michelin poissons Méditerranée
Le Cénacle,1 rue du Docteur Escat,Nice,06300,+33 4 93 80 80 80,contact@lecenacle-nice.fr,Gastronomique,€€€€,8.5,Produits terroir niçois premium
Jan,12 rue Lascaris,Nice,06300,+33 4 97 19 32 23,contact@restaurant-jan.com,Gastronomique,€€€€,9.0,1* Michelin bio producteurs PACA
Le Bistrot d'Antoine,27 rue de la Préfecture,Nice,06300,+33 4 93 85 29 57,contact@lebistrotdantoine.fr,Bistronomie,€€,8.0,Marché local niçois
Olive & Artichaut,6 rue Sainte Réparate,Nice,06300,+33 4 89 14 97 51,hello@oliveetartichaut.com,Méditerranéen,€€,7.5,Bio produits provençaux
L'Aromate,3 rue Delille,Nice,06000,+33 4 93 62 98 24,contact@laromate-nice.fr,Gastronomique,€€€€,8.5,Chef étoilé terroir
La Merenda,4 rue Raoul Bosio,Nice,06300,(pas de tél),N/A,Niçois Traditionnel,€€,8.0,Produits marché spécialités locales
Le Chantecler,37 promenade des Anglais,Nice,06000,+33 4 93 16 64 00,contact@hotel-negresco-nice.com,Gastronomique,€€€€,9.5,2* Michelin terroir prestige
Peixes,5 rue de l'Opéra,Nice,06300,+33 4 93 76 29 76,contact@peixes-restaurant.com,Poissons,€€€,8.0,Poissons locaux criée Nice
La Table d'Elise,7 rue Chauvain,Nice,06000,+33 4 93 81 63 63,contact@latabledellise.fr,Bistronomie,€€,7.5,Sourcing local marché
Vero,5 rue Masséna,Nice,06000,+33 4 93 87 88 83,hello@vero-nice.fr,Italien Bio,€€,7.5,Produits bio importation Italie
Pure & V,5 rue Gubernatis,Nice,06000,+33 4 93 62 53 12,contact@pure-et-v.fr,Végétarien Bio,€€,8.5,100% bio végétal local
Le Safran,1 cours Saleya,Nice,06300,+33 4 93 80 18 44,contact@restaurant-safran.fr,Méditerranéen,€€€,7.5,Marché cours Saleya
Le Figuier de Saint-Esprit,14 rue du Languedoc,Nîmes,30000,+33 4 66 21 01 00,contact@lefiguierdesaintesprit.com,Gastronomique,€€€€,9.0,1* Michelin producteurs locaux
Le Vintage,7 rue de Bernis,Nîmes,30000,+33 4 66 21 04 45,contact@levintage-nimes.fr,Bistronomie,€€€,8.0,Circuits courts vins naturels
Skab,7 rue de la République,Nîmes,30900,+33 4 66 21 94 30,hello@skab-restaurant.fr,Contemporain,€€,7.5,Produits marché local
La Table du 2,2 rue de l'Étoile,Nîmes,30000,+33 4 66 67 82 15,contact@latableddu2.fr,Gastronomique,€€€€,8.5,Terroir Camargue Cévennes
Le Bistr'Au,13 boulevard Amiral Courbet,Nîmes,30000,+33 4 66 67 63 73,contact@lebistrau.com,Néobistrot,€€,8.0,Producteurs gardois
Vincent Croizard,4 rue Dorée,Toulouse,31000,+33 5 61 21 95 70,contact@vincentcroizard.com,Gastronomique,€€€€,9.0,1* Michelin terroir Sud-Ouest
Le Bibent,5 place du Capitole,Toulouse,31000,+33 5 34 30 18 37,contact@lebibent.fr,Brasserie,€€€,7.5,Produits régionaux prestige
Hedone,3 rue Jules Chalande,Toulouse,31000,+33 5 61 53 69 34,contact@hedone-restaurant.com,Gastronomique,€€€€,8.5,Chef étoilé bio local
Le Genty Magre,3 rue Genty Magre,Toulouse,31000,+33 5 61 21 38 60,contact@legentymagre.fr,Bistronomie,€€€,8.0,Circuits courts vins nature
La Cantine du Curé,18 place Saint-Georges,Toulouse,31000,+33 5 61 53 34 08,contact@lacantineducure.com,Bistronomie,€€,7.5,Marché Victor Hugo
Solides,40 rue Peyrolières,Toulouse,31000,+33 5 61 53 06 24,hello@solides-toulouse.fr,Végétarien,€€,8.5,100% végétal bio local
Le Py-R,19 descente de la Halle aux Poissons,Toulouse,31000,+33 5 34 40 76 10,contact@lepy-r.com,Gastronomique,€€€€,8.5,Terroir pyrénéen premium
Les Jardins de l'Opéra,1 place du Capitole,Toulouse,31000,+33 5 61 23 07 76,contact@lesjardinsdelopera.com,Gastronomique,€€€€,9.5,2* Michelin potager bio
Au Pois Gourmand,3 rue Émile Heybrard,Toulouse,31000,+33 5 34 36 42 00,contact@aupoisgourmand.com,Bistronomie,€€,8.0,Producteurs locaux nommés
Monsieur Georges,18 rue Rémusat,Toulouse,31000,+33 5 61 21 55 64,contact@monsieurgeorges.fr,Contemporain,€€€,7.5,Sourcing soigné saison
Le P'tit Polyte,8 rue Léon Giraud,Montpellier,34000,+33 4 67 66 20 30,contact@ptitpolyte.fr,Bistronomie,€€€,8.0,Circuits courts producteurs Hérault
Leclère,10 rue Pitot,Montpellier,34000,+33 4 67 66 57 87,contact@restaurant-leclere.com,Gastronomique,€€€€,9.0,1* Michelin bio terroir
La Diligence,2 place Pétrarque,Montpellier,34000,+33 4 67 66 12 21,contact@ladiligence-montpellier.fr,Traditionnel,€€,7.5,Produits locaux marché
Le Jardin des Sens,11 avenue Saint-Lazare,Montpellier,34000,+33 4 99 58 38 38,contact@jardindessens.com,Gastronomique,€€€€,9.5,3* Michelin potager bio prestige
Coquillages Brassens,4 boulevard du Jeu de Paume,Montpellier,34070,+33 4 67 22 94 94,contact@coquillages-brassens.fr,Fruits de Mer,€€€,8.0,Criée Sète produits Méditerranée
Nature & Saveur,8 rue Jacques Cœur,Strasbourg,67000,+33 3 88 75 58 58,contact@nature-saveur.com,Bio Végétarien,€€,8.5,100% bio local Alsace
L'Ami Schutz,1 Ponts Couverts,Strasbourg,67000,+33 3 88 32 76 98,contact@amischutz.fr,Alsacien Bio,€€€,8.0,Produits terroir alsacien bio
